timestamp,temperature.gpu,clocks.sm,clocks.mem,power.draw,memory.used,utilization.gpu,clocks_throttle_reasons.sw_thermal_slowdown,clocks_throttle_reasons.hw_thermal_slowdown,clocks_throttle_reasons.sw_power_cap
2026/09/22 08:32:38.829, 80, 615, 6000, 48.88, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:32:40.887, 80, 510, 6000, 49.31, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:32:42.997, 80, 510, 6000, 40.28, 7893, 72, Active, Not Active, Not Active
2026/09/22 08:32:45.053, 80, 510, 6000, 43.49, 7893, 79, Active, Not Active, Not Active
2026/09/22 08:32:47.104, 80, 510, 6000, 46.73, 7893, 99, Active, Not Active, Not Active
2026/09/22 08:32:49.187, 80, 510, 6000, 50.36, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:32:51.258, 79, 510, 6000, 48.60, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:32:53.323, 79, 510, 6000, 49.03, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:32:55.379, 79, 510, 6000, 48.90, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:32:57.478, 79, 510, 6000, 50.09, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:32:59.543, 79, 510, 6000, 49.65, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:33:01.602, 79, 510, 6000, 43.39, 7893, 80, Active, Not Active, Not Active
2026/09/22 08:33:03.660, 79, 510, 6000, 43.08, 7893, 76, Active, Not Active, Not Active
2026/09/22 08:33:05.715, 79, 555, 6000, 52.20, 7893, 98, Active, Not Active, Not Active
2026/09/22 08:33:07.771, 79, 555, 6000, 49.57, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:33:09.828, 79, 555, 6000, 49.99, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:33:11.888, 79, 900, 6000, 55.80, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:33:13.943, 79, 840, 6000, 56.25, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:33:16.008, 79, 885, 6000, 51.81, 7893, 98, Active, Not Active, Not Active
2026/09/22 08:33:18.063, 79, 765, 6000, 56.78, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:33:20.115, 79, 780, 6000, 55.88, 7893, 87, Active, Not Active, Not Active
2026/09/22 08:33:22.165, 79, 945, 6000, 52.07, 7893, 87, Active, Not Active, Not Active
2026/09/22 08:33:24.221, 79, 915, 6000, 59.00, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:33:26.279, 79, 780, 6000, 56.74, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:33:28.331, 79, 945, 6000, 54.50, 7893, 65, Active, Not Active, Not Active
2026/09/22 08:33:30.383, 79, 840, 6000, 56.38, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:33:32.440, 79, 750, 6000, 53.94, 7893, 95, Active, Not Active, Not Active
2026/09/22 08:33:34.503, 78, 1305, 6000, 57.99, 7893, 98, Active, Not Active, Not Active
2026/09/22 08:33:36.571, 79, 840, 6000, 56.08, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:33:38.627, 79, 945, 6000, 59.51, 7893, 85, Active, Not Active, Not Active
2026/09/22 08:33:40.686, 79, 1005, 6000, 65.34, 7893, 98, Active, Not Active, Not Active
2026/09/22 08:33:42.747, 79, 930, 6000, 61.88, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:33:44.804, 79, 990, 6000, 62.98, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:33:46.860, 79, 915, 6000, 61.65, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:33:48.922, 79, 945, 6000, 61.77, 7893, 100, Active, Not Active, Not Active
2026/09/22 08:33:50.983, 79, 960, 6000, 61.22, 7893, 96, Active, Not Active, Not Active
2026/09/22 08:33:53.034, 79, 1065, 6000, 64.56, 7893, 97, Active, Not Active, Not Active
